City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind speed
barrow,20,AR,1544316260,31,-38.31,-60.23,27.24,8.37
mataura,92,NZ,1544316309,89,-46.19,168.86,18.47,6.42
ust-maya,44,RU,1544316310,39,60.42,134.54,-32.24,0.97
atuona,20,PF,1544316310,100,-9.8,-139.03,26.42,7.67
port elizabeth,1,US,1544313360,68,39.31,-74.98,1.1,2.1
port alfred,80,ZA,1544316311,97,-33.59,26.89,18.52,4.17
busselton,0,AU,1544316311,100,-33.64,115.35,17.42,7.27
shimoda,75,JP,1544313600,39,34.7,138.93,10,6.2
shu,64,KZ,1544316312,65,43.6,73.76,-4.76,0.87
kapaa,75,US,1544313360,53,22.08,-159.32,27.2,9.3
lavrentiya,36,RU,1544316313,100,65.58,-170.99,-6.79,13.77
dikson,88,RU,1544316313,99,73.51,80.55,-9.49,13.17
tiksi,12,RU,1544316313,77,71.64,128.87,-38.89,1.37
khatanga,36,RU,1544316314,52,71.98,102.47,-23.19,1.22
qaanaaq,48,GL,1544316314,100,77.48,-69.36,-19.69,4.02
nikolskoye,90,RU,1544315400,86,59.7,30.79,-2,5
castro,75,CL,1544313600,87,-42.48,-73.76,13,6.2
sao filipe,0,CV,1544316259,97,14.9,-24.5,24.12,5.12
fortuna,0,ES,1544313600,93,38.18,-1.13,11,2.6
mendeleyevsk,40,RU,1544315400,86,55.89,52.31,-3,2.77
albany,75,US,1544314620,70,42.65,-73.75,-3.3,2.6
saint-philippe,90,CA,1544315700,85,45.36,-73.48,-9,2.1
kodiak,1,US,1544314500,73,39.95,-94.76,-1.7,3.6
rikitea,88,PF,1544316258,98,-23.12,-134.97,25.89,6.62
vaini,48,IN,1544313600,93,15.34,74.49,19,0.82
mount isa,0,AU,1544313600,23,-20.73,139.49,34,5.1
talnakh,76,RU,1544316317,73,69.49,88.39,-19.34,7.87
wanaka,76,NZ,1544316317,48,-44.7,169.14,20.67,1.42
kualakapuas,75,ID,1544311800,100,-3.01,114.39,24,3.1
saint anthony,90,US,1544314080,71,43.97,-111.68,-2.8,2.1
portland,75,US,1544313360,64,45.52,-122.67,6.1,4.6
nanning,90,CN,1544313600,93,22.83,108.3,9,3
antofagasta,40,CL,1544313600,77,-23.65,-70.4,17,4.1
saldanha,0,PT,1544316319,83,41.42,-6.55,-1.14,1.17
harrisonburg,1,US,1544315700,61,38.45,-78.87,1.1,1.52
airai,32,TL,1544316320,90,-8.93,125.41,25.14,0.52
